,fecha,tweets
131,2020-04-03 00:26:49,"RT @MichaelLojano: Que te han hecho Ecuador!
#EcuadorEnEmergencia https://t.co/zsNgggUj5E"
132,2020-04-03 00:26:45,"RT @bytati_: El pueblo ecuatoriano está sufriendo. Hospitales desbordados, no hay pruebas ni medicinas, queman cadáveres en descampados, ¿Y…"
133,2020-04-03 00:26:33,RT @ramonllzm: Tenemos que ir por este camino en #EcuadorEnEmergencia . Si te has dado cuenta que no son importantes tantos Asambleista? Pu…
134,2020-04-03 00:26:33,"RT @emirmontoya: @robinrobles Robinsón, necesitamos ayuda internacional de Cuba, China, Rusia, Alemania.
El gobierno no puede, no sabe, no…"
135,2020-04-03 00:26:32,"RT @FlakissGuevara: Cuando todo esto termine, lo primero que haré es ir por tí bebé #Encebollado 💓
#EcuadorEnEmergencia #SOSEcuador #Ecuado…"
136,2020-04-03 00:26:31,"RT @LEXKANDER: 🔴#Guayaquil, hospital Francisco Icaza Bustamante.
""Está es la realidad, no estamos mintiendo, no hay un solo médico"" exclama…"
137,2020-04-03 00:26:28,"RT @BaironValleP: ¡NOS ESTABAN MINTIENDO!
@ComunicacionEc pretendió desviar la atención insinuando como #FakeNews a las noticias de persona…"
138,2020-04-03 00:26:21,"Que triste lo que está pasando en Guayaquil, Dios los bendiga.
#EcuadorEnEmergencia 
#QuedateEnCasa"
139,2020-04-03 00:26:18,"RT @veronicaariasf: En medio de todo el dolor y la angustia por esta terrible pandemia, también hay esperanza, en #Loja recibieron el alta…"
140,2020-04-03 00:26:13,"RT @KGuijarro: #SOSGuayaquil #EcuadorEnEmergencia
#CubaPorLaSalud
Pongan atención con responsabilidad a Guayaquil, no sean inhumanos https:…"
141,2020-04-03 00:26:11,RT @ghidalgoandrade: Se la pasan en pendejadas y quitan el tiempo a quienes sí trabajan. Una resolución no regula nada ni tiene fuerza vinc…
142,2020-04-03 00:26:10,"Aquí no hay #FakeNews aquí hay una bola de inútiles. Pedimos ayuda, no tenemos #presidente y estamos muriendo en la… https://t.co/pET9oO2ERY"
143,2020-04-03 00:26:08,@ottosonnenh @Salud_Ec @DrJuanCZevallos @IESSec @PaulGranda @PedroPabloDuart @GoberdelGuayas @Riesgos_Ec @alexocles… https://t.co/VyZoat3CxT
144,2020-04-03 00:26:02,RT @consuemary: Pero para qué preocuparse si lo que pasa en #GuayaquilSOS no es cierto es puro #FakeNews sí o qué??? (sacamo) ves lo peligr…
145,2020-04-03 00:26:01,"Eso se vive en #EcuadorEnEmergencia, estamos en manos de ineptos https://t.co/aGYQwdYYbg"
146,2020-04-03 00:25:42,"RT @CulebraDigital: #URGENTE
La inoperancia, de un idiota titere  arrastrado a @realDonaldTrump 
el mismo discurso fascista criminal de los…"
